 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "2.4.0   R"
 Date_of_run_____________________________________________________________ (date)________________________     "12/05/2023"
 Time_of_run_____________________________________________________________ (time)________________________     "12:14"
 User____________________________________________________________________ (username)____________________     "jon"     
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "Generic DEMO                                                                                       
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     "v2.4.0-913-g759a689f1"                                                                             
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "1813-implement-nlopt-s-slsqp-solver"                                                               
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Overwrite regression references for |Merge branch |1829-numba-performance-warnings-in-sctfcoil| int
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/jon/code/notebooks/global_opt/data/generic_demo_IN.DAT                                                                                                                                            "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             47    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             27    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________            -17    
 Objective_function_name_________________________________________________ (objf_name)___________________     "net electrical output"                 
 Normalised_objective_function___________________________________________ (norm_objf)___________________     -1.3992E+00 OP 
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      9.1878E-08 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      6.2927E-09 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             89 OP 
 beta____________________________________________________________________ (itvar001)____________________      4.4039E-02    
 beta_(final_value/initial_value)________________________________________ (xcm001)______________________      1.4016E+00    
 beta_(range_normalised)_________________________________________________ (nitvar001)___________________      4.3083E-02    
 dene____________________________________________________________________ (itvar002)____________________      6.8094E+19    
 dene_(final_value/initial_value)________________________________________ (xcm002)______________________      9.1623E-01    
 dene_(range_normalised)_________________________________________________ (nitvar002)___________________      5.8681E-02    
 fwalld__________________________________________________________________ (itvar003)____________________      5.6327E-01    
 fwalld_(final_value/initial_value)______________________________________ (xcm003)______________________      4.2998E-01    
 fwalld_(range_normalised)_______________________________________________ (nitvar003)___________________      5.6283E-01    
 ffuspow_________________________________________________________________ (itvar004)____________________      1.0200E+00    
 ffuspow_(final_value/initial_value)_____________________________________ (xcm004)______________________      1.0200E+00    
 ffuspow_(range_normalised)______________________________________________ (nitvar004)___________________      1.0000E+00    
 ftburn__________________________________________________________________ (itvar005)____________________      1.0000E+00    
 ftburn_(final_value/initial_value)______________________________________ (xcm005)______________________      1.0000E+00    
 ftburn_(range_normalised)_______________________________________________ (nitvar005)___________________      1.0000E+00    
 flhthresh_______________________________________________________________ (itvar006)____________________      1.5750E+00    
 flhthresh_(final_value/initial_value)___________________________________ (xcm006)______________________      1.5750E+00    
 flhthresh_(range_normalised)____________________________________________ (nitvar006)___________________      6.3890E-02    
 fpinj___________________________________________________________________ (itvar007)____________________      2.0000E-01    
 fpinj_(final_value/initial_value)_______________________________________ (xcm007)______________________      2.0000E-01    
 fpinj_(range_normalised)________________________________________________ (nitvar007)___________________      1.9920E-01    
 fpnetel_________________________________________________________________ (itvar008)____________________      7.1469E-01    
 fpnetel_(final_value/initial_value)_____________________________________ (xcm008)______________________      7.1469E-01    
 fpnetel_(range_normalised)______________________________________________ (nitvar008)___________________      7.1440E-01    
 fbetatry________________________________________________________________ (itvar009)____________________      6.3976E-01    
 fbetatry_(final_value/initial_value)____________________________________ (xcm009)______________________      1.3259E+00    
 fbetatry_(range_normalised)_____________________________________________ (nitvar009)___________________      6.3940E-01    
 fpeakb__________________________________________________________________ (itvar010)____________________      7.2540E-01    
 fpeakb_(final_value/initial_value)______________________________________ (xcm010)______________________      7.2540E-01    
 fpeakb_(range_normalised)_______________________________________________ (nitvar010)___________________      7.2513E-01    
 coheof__________________________________________________________________ (itvar011)____________________      9.1020E+06    
 coheof_(final_value/initial_value)______________________________________ (xcm011)______________________      4.3971E-01    
 coheof_(range_normalised)_______________________________________________ (nitvar011)___________________      9.0111E-02    
 fjohc___________________________________________________________________ (itvar012)____________________      5.8528E-02    
 fjohc_(final_value/initial_value)_______________________________________ (xcm012)______________________      1.0108E-01    
 fjohc_(range_normalised)________________________________________________ (nitvar012)___________________      4.9018E-02    
 fjohc0__________________________________________________________________ (itvar013)____________________      7.2846E-02    
 fjohc0_(final_value/initial_value)______________________________________ (xcm013)______________________      1.3515E-01    
 fjohc0_(range_normalised)_______________________________________________ (nitvar013)___________________      7.1918E-02    
 fcohbop_________________________________________________________________ (itvar014)____________________      1.0000E+00    
 fcohbop_(final_value/initial_value)_____________________________________ (xcm014)______________________      1.0732E+00    
 fcohbop_(range_normalised)______________________________________________ (nitvar014)___________________      1.0000E+00    
 fiooic__________________________________________________________________ (itvar015)____________________      9.1059E-02    
 fiooic_(final_value/initial_value)______________________________________ (xcm015)______________________      1.4363E-01    
 fiooic_(range_normalised)_______________________________________________ (nitvar015)___________________      9.0149E-02    
 fvdump__________________________________________________________________ (itvar016)____________________      1.0000E+00    
 fvdump_(final_value/initial_value)______________________________________ (xcm016)______________________      1.0000E+00    
 fvdump_(range_normalised)_______________________________________________ (nitvar016)___________________      1.0000E+00    
 vdalw___________________________________________________________________ (itvar017)____________________      1.0000E+01    
 vdalw_(final_value/initial_value)_______________________________________ (xcm017)______________________      1.0000E+00    
 vdalw_(range_normalised)________________________________________________ (nitvar017)___________________      1.0000E+00    
 fjprot__________________________________________________________________ (itvar018)____________________      1.0000E+00    
 fjprot_(final_value/initial_value)______________________________________ (xcm018)______________________      1.0000E+00    
 fjprot_(range_normalised)_______________________________________________ (nitvar018)___________________      1.0000E+00    
 ftmargtf________________________________________________________________ (itvar019)____________________      2.4667E-01    
 ftmargtf_(final_value/initial_value)____________________________________ (xcm019)______________________      2.4667E-01    
 ftmargtf_(range_normalised)_____________________________________________ (nitvar019)___________________      2.4591E-01    
 ftmargoh________________________________________________________________ (itvar020)____________________      2.9975E-01    
 ftmargoh_(final_value/initial_value)____________________________________ (xcm020)______________________      2.9975E-01    
 ftmargoh_(range_normalised)_____________________________________________ (nitvar020)___________________      2.9905E-01    
 ftaulimit_______________________________________________________________ (itvar021)____________________      1.0000E+00    
 ftaulimit_(final_value/initial_value)___________________________________ (xcm021)______________________      1.0000E+00    
 ftaulimit_(range_normalised)____________________________________________ (nitvar021)___________________      1.0000E+00    
 ftaucq__________________________________________________________________ (itvar022)____________________      7.7584E-01    
 ftaucq_(final_value/initial_value)______________________________________ (xcm022)______________________      8.4423E-01    
 ftaucq_(range_normalised)_______________________________________________ (nitvar022)___________________      7.7562E-01    
 foh_stress______________________________________________________________ (itvar023)____________________      1.0000E+00    
 foh_stress_(final_value/initial_value)__________________________________ (xcm023)______________________      1.0000E+00    
 foh_stress_(range_normalised)___________________________________________ (nitvar023)___________________      1.0000E+00    
 fbmaxcs_________________________________________________________________ (itvar024)____________________      7.7812E-01    
 fbmaxcs_(final_value/initial_value)_____________________________________ (xcm024)______________________      5.9855E-02    
 fbmaxcs_(range_normalised)______________________________________________ (nitvar024)___________________      7.7789E-01    
 fne0____________________________________________________________________ (itvar025)____________________      4.8113E-01    
 fne0_(final_value/initial_value)________________________________________ (xcm025)______________________      4.8113E-01    
 fne0_(range_normalised)_________________________________________________ (nitvar025)___________________      4.8061E-01    
 fpsepbqar_______________________________________________________________ (itvar026)____________________      1.0000E+00    
